fhfa_cbsa,period,hpi_all_transactions_nsa
10540,2019Q2,263.5
10540,2019Q3,267.94
10540,2019Q4,271.89
10540,2020Q1,277.56
10540,2020Q2,279.51
10540,2020Q3,285.7
10540,2020Q4,293.39
10540,2021Q1,305.42
10540,2021Q2,325.08
10540,2021Q3,348.71
10540,2021Q4,357.03
10540,2022Q1,364.75
10540,2022Q2,396.15
10540,2022Q3,391.39
10540,2022Q4,386.16
10540,2023Q1,384.88
10540,2023Q2,392.77
10540,2023Q3,398.99
10540,2023Q4,397.73
10540,2024Q1,396.24
10540,2024Q2,406.3
10540,2024Q3,415.9
10540,2024Q4,407.32
10540,2025Q1,414.88
10540,2025Q2,424.18
10540,2025Q3,415.76
10540,2025Q4,426.91
10540,2026Q1,419.85
10580,1979Q3,37.99
10580,1979Q4,39.73
10580,1980Q1,41.18
10580,1980Q2,39.37
10580,1980Q3,39.56
10580,1980Q4,40.39
10580,1981Q1,44.04
10580,1981Q2,39.1
10580,1981Q3,43.12
10580,1982Q1,43.77
10580,1982Q2,43.43
10580,1982Q3,46.81
10580,1982Q4,43.52
10580,1983Q1,44.83
10580,1983Q2,46.09
10580,1983Q3,49.46
10580,1983Q4,49.4
10580,1984Q1,52.59
10580,1984Q2,53.1
10580,1984Q3,54.64
10580,1984Q4,56.3
10580,1985Q1,56.47
10580,1985Q2,58.18
10580,1985Q3,62.67
10580,1985Q4,60.98
10580,1986Q1,67.5
10580,1986Q2,69.72
10580,1986Q3,72.98
10580,1986Q4,78.26
10580,1987Q1,82.38
10580,1987Q2,84.57
10580,1987Q3,89.21
10580,1987Q4,91.24
10580,1988Q1,94.49
10580,1988Q2,97.62
10580,1988Q3,99
10580,1988Q4,100.07
10580,1989Q1,100.9
10580,1989Q2,102.01
10580,1989Q3,103.97
10580,1989Q4,104.08
10580,1990Q1,104.58
10580,1990Q2,104.33
10580,1990Q3,103.85
10580,1990Q4,105.14
10580,1991Q1,104.64
10580,1991Q2,105.92
10580,1991Q3,105.75
10580,1991Q4,106.42
10580,1992Q1,108.03
10580,1992Q2,106.73
10580,1992Q3,107.87
10580,1992Q4,108.32
10580,1993Q1,107.54
10580,1993Q2,107.85
10580,1993Q3,107.69
10580,1993Q4,107.82
10580,1994Q1,107.43
10580,1994Q2,105.15
10580,1994Q3,103.46
10580,1994Q4,103.21
10580,1995Q1,100
10580,1995Q2,100.94
10580,1995Q3,102.47
10580,1995Q4,102.94
10580,1996Q1,103.71
10580,1996Q2,100.86
10580,1996Q3,100.96
10580,1996Q4,99.55
10580,1997Q1,100.41
10580,1997Q2,100.73
10580,1997Q3,100.17
10580,1997Q4,101.29
10580,1998Q1,103.17
10580,1998Q2,102.09
10580,1998Q3,102.62
10580,1998Q4,103.66
10580,1999Q1,103.99
10580,1999Q2,104.42
10580,1999Q3,104.38
10580,1999Q4,103.35
10580,2000Q1,104.55
10580,2000Q2,105.51
10580,2000Q3,107.69
10580,2000Q4,107.93
10580,2001Q1,109.13
10580,2001Q2,111.57
10580,2001Q3,113.97
10580,2001Q4,114.88
10580,2002Q1,116.12
10580,2002Q2,118.84
10580,2002Q3,121.49
10580,2002Q4,124.54
10580,2003Q1,126.41
10580,2003Q2,129.01
10580,2003Q3,132.89
10580,2003Q4,138.41
10580,2004Q1,141.22
10580,2004Q2,146.63
10580,2004Q3,155.38
10580,2004Q4,158.53
10580,2005Q1,162.61
10580,2005Q2,170.7
10580,2005Q3,177.41
10580,2005Q4,179.9
10580,2006Q1,184.25
10580,2006Q2,187.9
10580,2006Q3,188.4
10580,2006Q4,190.52
10580,2007Q1,192.46
10580,2007Q2,194.2
10580,2007Q3,193.45
10580,2007Q4,194.66
10580,2008Q1,195.84
10580,2008Q2,194.03
10580,2008Q3,192.73
10580,2008Q4,191.23
10580,2009Q1,194.48
10580,2009Q2,191.32
10580,2009Q3,189.52
10580,2009Q4,188.2
10580,2010Q1,187.46
10580,2010Q2,187.41
10580,2010Q3,189.65
10580,2010Q4,189.05
10580,2011Q1,187.03
10580,2011Q2,185.61
10580,2011Q3,185.04
10580,2011Q4,187.09
10580,2012Q1,185.72
10580,2012Q2,183.69
10580,2012Q3,185.58
10580,2012Q4,185.59
10580,2013Q1,185.8
10580,2013Q2,185.64
10580,2013Q3,186.4
10580,2013Q4,184.19
10580,2014Q1,182.03
10580,2014Q2,183.67
10580,2014Q3,185.2
10580,2014Q4,185.31
10580,2015Q1,186.65
10580,2015Q2,187.65
10580,2015Q3,188.03
10580,2015Q4,186.82
10580,2016Q1,189.49
10580,2016Q2,191.38
10580,2016Q3,192.73
10580,2016Q4,192.61
10580,2017Q1,192.07
10580,2017Q2,194.97
10580,2017Q3,198.2
10580,2017Q4,198.23
10580,2018Q1,200
10580,2018Q2,201.18
10580,2018Q3,202.34
10580,2018Q4,201.22
10580,2019Q1,204.93
10580,2019Q2,206.21
10580,2019Q3,208.1
10580,2019Q4,209.4
10580,2020Q1,209.59
10580,2020Q2,214.01
10580,2020Q3,216.55
10580,2020Q4,222.1
10580,2021Q1,227.67
10580,2021Q2,234.13
10580,2021Q3,248.9
10580,2021Q4,250.5
10580,2022Q1,256.03
10580,2022Q2,273
10580,2022Q3,275.62
10580,2022Q4,276.1
10580,2023Q1,270.22
10580,2023Q2,288.97
10580,2023Q3,302.75
10580,2023Q4,302.12
10580,2024Q1,301.14
10580,2024Q2,313.04
10580,2024Q3,321.68
10580,2024Q4,322.7
10580,2025Q1,329.29
