zillow_region_id,fhfa_cbsa,period,zori_usd_month
394312,10740,2020-05,1009.642191673827
394312,10740,2020-06,1020.0881089448663
394312,10740,2020-07,1034.364654356035
394312,10740,2020-08,1050.4563979871257
394312,10740,2020-09,1058.369328303523
394312,10740,2020-10,1062.773269479239
394312,10740,2020-11,1064.8818863186061
394312,10740,2020-12,1067.1279937879813
394312,10740,2021-01,1072.4583991984002
394312,10740,2021-02,1085.248234854284
394312,10740,2021-03,1100.112344440747
394312,10740,2021-04,1121.1771072977956
394312,10740,2021-05,1143.132629703148
394312,10740,2021-06,1168.1822913889005
394312,10740,2021-07,1194.0866923131946
394312,10740,2021-08,1221.8131343441855
394312,10740,2021-09,1242.4417608625201
394312,10740,2021-10,1249.706716199751
394312,10740,2021-11,1248.3066717401666
394312,10740,2021-12,1255.0628929496434
394312,10740,2022-01,1261.2234688998437
394312,10740,2022-02,1272.1047480285436
394312,10740,2022-03,1285.015811887863
394312,10740,2022-04,1303.6674890152424
394312,10740,2022-05,1329.2522145288945
394312,10740,2022-06,1346.5351709076344
394312,10740,2022-07,1366.7778416956082
394312,10740,2022-08,1372.7953716691557
394312,10740,2022-09,1376.9710883852217
394312,10740,2022-10,1378.2901255925929
394312,10740,2022-11,1381.2123616365175
394312,10740,2022-12,1378.7726537530295
394312,10740,2023-01,1380.0935040210516
394312,10740,2023-02,1375.8700094046774
394312,10740,2023-03,1389.602562997692
394312,10740,2023-04,1397.8935706451728
394312,10740,2023-05,1413.1490144033708
394312,10740,2023-06,1420.6815726941827
394312,10740,2023-07,1427.416442382753
394312,10740,2023-08,1434.3275928509806
394312,10740,2023-09,1436.2143572731436
394312,10740,2023-10,1437.082818135254
394312,10740,2023-11,1437.0895426104532
394312,10740,2023-12,1434.8623744725758
394312,10740,2024-01,1434.434367304637
394312,10740,2024-02,1435.8639847726117
394312,10740,2024-03,1441.2867440802895
394312,10740,2024-04,1451.5548379107893
394312,10740,2024-05,1460.7941987730755
394312,10740,2024-06,1469.0381451781484
394312,10740,2024-07,1475.1751319591635
394312,10740,2024-08,1480.0773754342522
394312,10740,2024-09,1482.5173925915003
394312,10740,2024-10,1479.0812650722116
394312,10740,2024-11,1475.2860991198586
394312,10740,2024-12,1474.6560682638171
394312,10740,2025-01,1480.2555426169865
394312,10740,2025-02,1485.9758558909905
394312,10740,2025-03,1494.6737944456672
394312,10740,2025-04,1499.7227929551048
394312,10740,2025-05,1505.8273980815388
394312,10740,2025-06,1504.7194642418096
394312,10740,2025-07,1507.556912393733
394312,10740,2025-08,1510.5451578770642
394312,10740,2025-09,1516.5408652480137
394312,10740,2025-10,1515.4046723464828
394312,10740,2025-11,1509.9024267883958
394312,10740,2025-12,1500.2382282901976
394312,10740,2026-01,1496.9137546088634
394312,10740,2026-02,1497.6373781484283
394312,10740,2026-03,1508.0678136423655
394312,10740,2026-04,1513.525631315164
394312,10740,2026-05,1519.85632008057
394312,10740,2026-06,1522.2017346149412
394314,10780,2023-05,1011.1648023040784
394314,10780,2023-06,1017.2006924281694
